Group No,Group Name,Name,Sub Name,Repeater Call Sign,Gateway Call Sign,Frequency,Dup,Offset,Mode,TONE,Repeater Tone,RPT1USE,Position,Latitude,Longitude,UTC Offset
4,2 Lombardia FM,Gallarate (VA),RV-1a,RV-1a,,145.587500,DUP-,0.600000,FM,156.7,TONE,156.7Hz,YES,Approximate,45.687500,8.791667,--:--
4,2 Lombardia FM,M.Maddalena (BS),R1,R1,,145.625000,DUP-,0.600000,FM,71.9 ,TONE,71.9Hz,YES,Approximate,45.562500,10.291667,--:--
4,2 Lombardia FM,Gravedona ed Uniti (CO),R1a,R1a,,145.637500,DUP-,0.600000,FM,71.9 ,TONE,71.9Hz,YES,Approximate,46.145833,9.291667,--:--
4,2 Lombardia FM,M.Penice (PV),R2,R2,,145.650000,DUP-,0.600000,FM,156.7,TONE,156.7Hz,YES,Approximate,44.770833,9.291667,--:--
4,2 Lombardia FM,Corni di Canzo (LC),R2a,R2a,,145.662500,DUP-,0.600000,FM,71.9 ,TONE,71.9Hz,YES,Approximate,45.854167,9.291667,--:--
4,2 Lombardia FM,Monte della Neve - Livigno (SO),R2a,R2a,,145.662500,DUP-,0.600000,FM, ,OFF,88.5Hz,YES,Approximate,46.479167,10.125000,--:--
4,2 Lombardia FM,San Felice del Benaco (BS),R3a,R3a,,145.687500,DUP-,0.600000,FM,156.7,TONE,156.7Hz,YES,Approximate,45.604167,10.541667,--:--
4,2 Lombardia FM,M.Rolla (SO),R3a,R3a,,145.687500,DUP-,0.600000,FM,156.7,TONE,156.7Hz,YES,Approximate,46.187500,9.875000,--:--
4,2 Lombardia FM,Azzano S.Paolo (BG),R4,R4,,145.700000,DUP-,0.600000,FM, ,OFF,88.5Hz,YES,Approximate,45.645833,9.708333,--:--
4,2 Lombardia FM,Cigolino - Chiavenna (SO),R4,R4,,145.700000,DUP-,0.600000,FM,71.9,TONE,71.9Hz,YES,Approximate,46.312500,9.375000,--:--
4,2 Lombardia FM,M.Bisbino (CO),R4a,R4a,,145.712500,DUP-,0.600000,FM,71.9 ,TONE,71.9Hz,YES,Approximate,45.854167,9.041667,--:--
4,2 Lombardia FM,Milano - Pirelli,R5,R5,,145.725000,DUP-,0.600000,FM,71.9 ,TONE,71.9Hz,YES,Approximate,45.479167,9.208333,--:--
4,2 Lombardia FM,Aprica -Magnolta (SO),R5,R5,,145.725000,DUP-,0.600000,FM, ,OFF,88.5Hz,YES,Approximate,46.145833,10.125000,--:--
4,2 Lombardia FM,Campo dei Fiori (VA),R5a,R5a,,145.737500,DUP-,0.600000,FM,71.9 ,TONE,71.9Hz,YES,Approximate,45.854167,8.791667,--:--
4,2 Lombardia FM,Cernusco S.N. (MI),R6,R6,,145.750000,DUP-,0.600000,FM,71.9,TONE,71.9Hz,YES,Approximate,45.520833,9.291667,--:--
4,2 Lombardia FM,Sellero (BS),R6a,R6a,,145.762500,DUP-,0.600000,FM,71.9,TONE,71.9Hz,YES,Approximate,46.062500,10.291667,--:--
4,2 Lombardia FM,Madesimo (SO),R7,R7,,145.775000,DUP-,0.600000,FM,71.9,TONE,71.9Hz,YES,Approximate,46.437500,9.375000,--:--
4,2 Lombardia FM,San Giovanni Bianco (BG),R7a,R7a,,145.787500,DUP-,0.600000,FM,156.7,TONE,156.7Hz,YES,Approximate,45.895833,9.708333,--:--
4,2 Lombardia FM,M.Boletto (CO),R7a,R7a,,145.787500,DUP-,0.600000,FM,71.9,TONE,71.9Hz,YES,Approximate,45.812500,9.125000,--:--
4,2 Lombardia FM,M.Penice (PV),RU3,RU3,,430.075000,DUP+,1.600000,FM,156.7,TONE,156.7Hz,YES,Approximate,44.770833,9.291667,--:--
4,2 Lombardia FM,Bergamo,RU6,RU6,,430.150000,DUP+,1.600000,FM,,OFF,88.5Hz,YES,Approximate,45.687500,9.625000,--:--
4,2 Lombardia FM,M.Falecchio - Onore (BG),RU6a,RU6a,,430.162500,DUP+,1.600000,FM,71.9 ,TONE,71.9Hz,YES,Approximate,45.895833,10.041667,--:--
4,2 Lombardia FM,Milano - Pirelli,RU7,RU7,,430.175000,DUP+,1.600000,FM,71.9 ,TONE,71.9Hz,YES,Approximate,45.479167,9.208333,--:--
4,2 Lombardia FM,Roncola (BG),RU8,RU8,,430.200000,DUP+,1.600000,FM,71.9 ,TONE,71.9Hz,YES,Approximate,45.729167,9.541667,--:--
