;RU5;430.125,0;+5.0 MHz;127.3;1 piemonte;AT;Asti ;;;; ;JN44CV;102;231;002;;cisar;;;;;;;;;;
;RU5;430.125,0;+5.0 MHz;CC1;1 piemonte;VCO;Trontano - Domodossola (VCO);DMR;IR1UIP;222121;IT-DMR;JN46DC;99;315;002;;gruppodmr ossola  iz1zpj;;;;;;;;;;
;RU6;430.150,0;+1.6 MHz;82.5;1 piemonte;TO;Corio (TO);;IR1UHU;;;JN35SI;131;264;002;;iz1gti;;;;;;;;;;
;RU6a;430.162,5;+5.0 MHz;;1 piemonte;TO;Perosa Argentina (TO);DMR;IW1ELM;223175;BRANDMEISTER;JN34OW;168;250;002;;iw1elm;;;;;;;;;;
;RU6a;430.162,5;+1.6 MHz;127.3;1 piemonte;VCO;M. Mottarone (VCO);;;;;JN45FV;74;309;002;;ari novara ik1jjm;;;;;;;;;;
;RU7;430.175,0;+1.6 MHz;82.5 ;1 piemonte;AL;Novi Ligure (AL);;;;;JN44JS;85;203;002;;ari novi ligure;;;;;;;;;;
;RU7a;430.187,5;+5.0 MHz;;1 piemonte;CN;Piasco(CN);DS;IR1UII;;;JN34RN;171;234;002;;iw1gap;;;;;;;;;;
;RU8;430.200,0;+5.0 MHz;;1 piemonte;TO;M.Garne' - Ceres (TO);DS;IR1UW;;;JN35RH;138;263;002;;iu1nsw iz1dsj;;;;;;;;;;
;RU8a;430.212,5;+1.6 MHz;82.5;1 piemonte;CN;La Morra (CN);;;;Rete Langa;JN34XP;135;227;002;;ari alba  ;;;;;;;;;;
;RU8a;430.212,5;+1.6 MHz;127.3;1 piemonte;VCO;M.Moncucco (VCO);;;;;JN46DC;99;315;002;;ari domodossola iw1bzh;;;;;;;;;;
;RU9;430.225,0;+1.6 MHz;94.8;1 piemonte;AL;Acqui Terme (AL); ; ;;;JN44EO;117;214;002;;ari aqui terme iw1cxl iw1cqc;;;;;;;;;;
;RU10;430.250,0;+5.0 MHz;82.5;1 piemonte;TO;Perosa Argentina (TO);;IR1UIR;;Val Chisone;JN34OW;168;250;002;;ari pinerolo;;;;;;;;;;
;RU10a;430.262,5;+1.6 MHz;82.5;1 piemonte;CN;Serravalle (CN);;;;Rete Langa;JN44AN;137;222;002;;ari alba  ;;;;;;;;;;
;RU11;430.275,0;+1.6 MHz;82.5;1 piemonte;CN;Sampeyre (CN);;;;Molinatico;JN34ON;187;238;002;;iw1byb;;;;;;;;;;
;RU11a;430.287,5;+1.6 MHz;82.5;1 piemonte;CN;Neviglie (CN);;;;Rete Langa;JN44BQ;122;224;002;;ari alba  ;;;;;;;;;;
;RU12 ;430.300,0;+1.6 MHz;82.5;1 piemonte;CN;Roccabruna (CN);;;;;JN34PL;187;234;002;;ari cuneo;;;;;;;;;;
;RU12a;430.312,5;+5.0 MHz;82.5;1 piemonte;TO;Angrogna - Val Pellice (TO);;;; ;JN34OU;171;247;002;;iw1gdn;;;;;;;;;;
;RU13;430.325,0;+5.0 MHz;;1 piemonte;TO;M.Garne' - Ceres (TO);3D;IR1UJJ;;BRANDMEISTER;JN35RH;138;263;002;;iz1dsj ik1vdi;;;;;;;;;;
;RU13a;430.337,5;+5.0 MHz;127.3;1 piemonte;AT;Asti;;;;Rete uhf Asti;JN44CV;102;231;002;;ik1jtd;;;;;;;;;;
;RU13a;430.337,5;+5.0 MHz;127.3;1 piemonte;AT;Loazzolo (AT);;;;Rete uhf Asti;JN44DQ;114;220;002;;ik1jtd;;;;;;;;;;
;RU14;430.350,0;+5.0 MHz;82.5;1 piemonte;TO;Bric della Croce (TO);C4FM;IR1UDP;;WIRES-X;JN35UA;128;247;002;; ari torino ;;;;;;;;;;
;RU14a;430.362,5;+1.6 MHz;82.5;1 piemonte;AL;Belforte M.to (AL);;;;Valle Stura;JN44HO;107;205;002;;ik1hxm;;;;;;;;;;
;RU15;430.375,0;+1.6 MHz;88.5;1 piemonte;CN;Mango d'Alba (CN);LN;;;Link Nazionale;JN44BP;126;223;002;;cisar ik1jtd;;;;;;;;;;
;RU15a;430.387,5;+7.6 MHz;;1 piemonte;CN;Murazzano (CN);DMR;IK1VQO;222138;BRANDMEISTER;JN44AL;144;220;002;;ik1vqo iu1dof iz1bla ;;;;;;;;;;
;RU;430.425,0;+5.0 MHz;82.5;1 piemonte;CN;Bagnolo Piemonte-Montoso (CN); ;IR1UIR;; ;JN34PS;170;243;002;;iz1cqy;;;;;;;;;;
;RU;430.437,5;+5.0 MHz; ;1 piemonte;AL;M. Giarolo (AL);DMR;IR1UIZ;222064;D2ALP;JN44NR;84;185;002;;iw1ght  iw1bcw iz1mlb iz1xbb;;;;;;;;;;
;RU;430.450,0;+5.0 MHz;127.3;1 piemonte;AT;Colle di Rucas (CN); ; ;; ;JN44DO;121;217;002;;ik1jtd;;;;;;;;;;
;RU;430.500,0;+5.0 MHz;82.5;1 piemonte;TO;Aquila di Giaveno (TO);EL;IR1UDT;38834;;JN35PA;158;252;002;;iw1bcw iw1dni ik1vdi;;;;;;;;;;
;RU;430.525,0;+5.0 MHz;;1 piemonte;TO;Aquila di Giaveno (TO);DMR;IR1UBR;;;JN35PA;158;252;002;;iw1avr -ik1jns;;;;;;;;;;
;RU;430.550,0;+5.0 MHz;82.5;1 piemonte;TO;Castagneto Po (TO);EL;;922727; ;JN35WD;111;251;002;;ari chivasso;;;;;;;;;;
;RU;430.587,5;+5.0 MHz;;1 piemonte;VCO;M. Mottarone (VCO);DMR;IR1UIQ;;;JN45FV;74;309;002;;gruppo dmr ossola;;;;;;;;;;
;RU;430.600,0;+5.0 MHz;127.3;1 piemonte;CN;Bagnolo Piemonte (CN);;;;;JN34PS;170;243;002;;iw1gdn;;;;;;;;;;
;RU;430.612,5;+5.0 MHz;67.0;1 piemonte;TO;Torino;;IR1UJK;;;JN35UC;124;251;002;;ik1bqd;;;;;;;;;;
;RU;430.650,0;+5.0 MHz;;1 piemonte;CN;La Morra (CN);C4FM;IZ1TTU;;WIRES-X;JN34XP;135;227;002;;iz1gcn;;;;;;;;;;
;RU;430.650,0;+5.0 MHz; ;1 piemonte;CN;M.Malanotte  (CN);  ; IR1UHW;;;JN34VG;175;220;002;;era imperia iw1bnq iw1cgw  iz1myt ;;;;;;;;;;
;RU;430.687,5;+5.0 MHz;;1 piemonte;AL;Paderna (AL);DMR;IZ1MLB;222140;D2ALP;JN44KT;79;200;002;;iz1mlb iz1jzl;;;;;;;;;;
;RU;430.700,0;+5.0 MHz;;1 piemonte;TO;Villar Focchiardo (TO);DMR;IZ1KGA;;BRANDMEISTER;JN35OC;162;256;002;;iz1kga iu1jvo iu1dpe;;;;;;;;;;
;RU;430.725,0;+5.0 MHz;CC1;1 piemonte;TO;Prarostino (TO);DMR;IW1GLE;;;JN34PU;165;246;002;;iw1gle;;;;;;;;;;
;RU;430.750,0;+5.0 MHz;CC1;1 piemonte;TO;Susa (TO);DMR;IR1CS;;BRANDMEISTER;JN35MD;173;258;002;;iz1gct;;;;;;;;;;
;RU;430.762,5;+5.0 MHz;82.5;1 piemonte;AL;M.Giarolo (AL);EL;IR1UIY;804247;;JN44NV;65;186;002;;iw1bcw iw1ght iz1mlb iz1mdc;;;;;;;;;;
