Group No,Group Name,Name,Sub Name,Repeater Call Sign,Gateway Call Sign,Frequency,Dup,Offset,Mode,TONE,Repeater Tone,RPT1USE,Position,Latitude,Longitude,UTC Offset
06,DV Lombardia,Colico,IR2UGK,IR2UGK B,IR2UGK G,430.187500,DUP+,1.600000,DV,OFF,88.5Hz,YES,Exact,46.140667,9.258333,+1:00
06,DV Lombardia,Cornaredo,IK2UCJ,IK2UCJ B,IK2UCJ G,440.000000,DUP+,0.000000,DV,OFF,88.5Hz,YES,Exact,45.518167,9.007500,--:--
06,DV Lombardia,Gallarate,IR2UEZ,IR2UEZ A,IR2UEZ G,1297.275000,DUP-,6.000000,DV,OFF,88.5Hz,YES,Exact,45.681667,8.818000,--:--
06,DV Lombardia,Gallarate,IR2UEZ,IR2UEZ B,IR2UEZ G,431.612500,DUP+,1.600000,DV,OFF,88.5Hz,YES,Exact,45.681667,8.818000,--:--
06,DV Lombardia,Gorgonzola,IK2MLV,IK2MLV C,IK2MLV G,144.875000,DUP+,0.000000,DV,OFF,88.5Hz,YES,Exact,45.520000,9.373333,--:--
06,DV Lombardia,Gorgonzola,IZ2NBD,IZ2NBD B,IZ2NBD G,430.912500,DUP+,0.000000,DV,OFF,88.5Hz,YES,Exact,45.529000,9.339000,--:--
06,DV Lombardia,Lecco,IR2UDW,IR2UDW B,IR2UDW G,430.237500,DUP+,1.600000,DV,OFF,88.5Hz,YES,Exact,45.777167,9.458167,+1:00
06,DV Lombardia,Lodi,IZ2DDY,IZ2DDY B,IZ2DDY G,430.012500,DUP+,5.000000,DV,OFF,88.5Hz,YES,Exact,45.309833,9.505667,--:--
06,DV Lombardia,M. Boletto,IR2UG,IR2UG  B,IR2UG  G,430.025000,DUP+,1.600000,DV,OFF,88.5Hz,YES,Exact,45.826167,9.100500,+1:00
06,DV Lombardia,Melegnano,IW2GUI,IW2GUI B,IW2GUI G,435.275000,DUP+,0.000000,DV,OFF,88.5Hz,YES,Exact,45.355333,9.375667,--:--
06,DV Lombardia,Morbegno,IW2ESL,IW2ESL B,IW2ESL G,432.200000,DUP+,0.000000,DV,OFF,88.5Hz,YES,Exact,46.132167,9.581000,--:--
06,DV Lombardia,Paullo,IZ2IUT,IZ2IUT B,IZ2IUT G,432.825000,DUP+,0.000000,DV,OFF,88.5Hz,YES,Exact,45.415000,9.402167,--:--
06,DV Lombardia,Settimo,IZ2VTO,IZ2VTO B,IZ2VTO G,433.125000,DUP+,0.000000,DV,OFF,88.5Hz,YES,Exact,45.490000,9.020000,--:--
06,DV Lombardia,Sondrio,IR2UGU,IR2UGU B,IR2UGU G,430.200000,DUP+,1.600000,DV,OFF,88.5Hz,YES,Exact,46.185167,9.891167,--:--
06,DV Lombardia,Tremalzo,IK2ISX,IK2ISX B,IK2ISX G,430.575000,DUP+,5.000000,DV,OFF,88.5Hz,YES,Exact,45.837667,10.691500,--:--
06,DV Lombardia,Valcava,IR2UED,IR2UED B,IR2UED G,431.537500,DUP+,1.600000,DV,OFF,88.5Hz,YES,Exact,45.788833,9.513333,+1:00
07,FM Lombardia,Aprica -Magnolta (SO),R5,,,145.725000,DUP-,0.600000,FM,OFF,88.5Hz,YES,Approximate,46.145833,10.125000,--:--
07,FM Lombardia,Azzano S.Paolo (BG),R4,,,145.700000,DUP-,0.600000,FM,OFF,88.5Hz,YES,Approximate,45.645833,9.708333,--:--
07,FM Lombardia,Bergamo,RU6,,,430.150000,DUP+,1.600000,FM,OFF,88.5Hz,YES,Approximate,45.687500,9.625000,--:--
07,FM Lombardia,Campo dei Fiori (VA),R5a,,,145.737500,DUP-,0.600000,FM,TONE,71.9Hz,YES,Approximate,45.854167,8.791667,--:--
